Prediction,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,Orbital Period,koi_period_err1,koi_time0bk,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,Planet Radius,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,Stellar Radius,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,tda_entropy_dim0,tda_entropy_dim1,tda_total_dim0,tda_total_dim1
1,0,0,0,0,9.48803557,2.775e-05,170.53875,0.00216,0.146,0.318,-0.146,2.9575,0.0819,615.8,19.5,2.26,0.26,-0.15,793.0,93.59,29.45,-16.65,35.8,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347,4.80353514929221,2.6785398046948994,18.379264265298843,0.7780214548110962
1,0,0,0,0,54.4183827,0.0002479,162.51384,0.00352,0.586,0.059,-0.443,4.507,0.116,874.8,35.5,2.83,0.32,-0.19,443.0,9.11,2.87,-1.62,25.8,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347,4.825957277093062,2.8845707483451966,19.49366396665573,0.8877996206283569
0,0,0,0,0,19.89913995,1.494e-05,175.850252,0.000581,0.969,5.126,-0.077,1.7822,0.0341,10829.0,171.0,14.6,3.92,-1.31,638.0,39.3,31.04,-10.49,76.3,5853.0,158.0,-176.0,4.544,0.044,-0.176,0.868,0.233,-0.078,297.00482,48.134129,15.436,4.82836089588276,3.546006368821802,21.798267126083374,1.0438529253005981
2,0,1,0,0,1.736952453,2.63e-07,170.307565,0.000115,1.276,0.115,-0.092,2.40641,0.00537,8079.2,12.8,33.46,8.5,-2.83,1395.0,891.96,668.95,-230.35,505.6,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597,4.845839259075707,3.5653004595327964,35.98113924264908,2.133046507835388
1,0,0,0,0,2.525591777,3.761e-06,171.59555,0.00113,0.701,0.235,-0.478,1.6545,0.042,603.3,16.9,2.75,0.88,-0.35,1406.0,926.16,874.33,-314.24,40.9,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509,4.845662933985678,4.077875363837957,23.61749768257141,1.434399127960205
1,0,0,0,0,11.09432054,2.036e-05,171.20116,0.00141,0.538,0.03,-0.428,4.5945,0.061,1517.5,24.2,3.9,1.27,-0.42,835.0,114.81,112.85,-36.7,66.5,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,4.813330104108114,3.5507520468049423,20.20957639813423,0.8881320953369141
1,0,0,0,0,4.13443512,1.046e-05,172.97937,0.0019,0.762,0.139,-0.532,3.1402,0.0673,686.0,18.7,2.77,0.9,-0.3,1160.0,427.65,420.33,-136.7,40.2,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,4.8039903459875735,3.1904642695092673,19.63660842180252,0.6623456478118896
1,0,0,0,0,2.56658897,1.781e-05,179.55437,0.00461,0.755,0.212,-0.523,2.429,0.165,226.5,16.8,1.59,0.52,-0.17,1360.0,807.74,793.91,-258.2,15.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,4.805254442287779,3.0969507206928863,20.941897004842758,0.5189682245254517
2,0,1,1,0,7.36178958,2.128e-05,132.25053,0.00253,1.169,7.133,-0.044,5.022,0.136,233.7,5.8,39.21,6.45,-9.67,1342.0,767.22,349.28,-365.49,47.7,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66,4.822577585469634,3.0140842128168543,47.076857566833496,1.9314239025115967
1,0,0,0,0,16.06864674,1.088e-05,173.621937,0.000517,0.052,0.262,-0.052,3.5347,0.0241,4914.3,33.3,5.76,0.22,-0.49,600.0,30.75,4.46,-6.66,161.9,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841,4.697912981623967,2.8121483778290055,16.97489422559738,0.6568294763565063
